Home offset is 0
theta0 (Initial angle from Home) is (deg) 35.494
angle from Home(deg)	angle from theta0(deg)	photocurrent
0	35.494	7.0661E-08
10	45.494	9.82456666666667E-08
20	55.494	4.71613333333333E-07
30	65.494	5.0315E-06
40	75.494	2.43503333333333E-05
50	85.494	7.20666666666667E-05
60	95.494	0.000101266666666667
70	105.494	9.9733E-05
80	115.494	7.9228E-05
90	125.494	5.42546666666667E-05
100	135.494	3.07453333333333E-05
