Home offset is 0
theta0 (Initial angle from Home) is (deg) 35.494
angle from Home(deg)	angle from theta0(deg)	photocurrent
16.0	51.494	0.000120403333333333
16.1	51.594	0.00012063
16.2	51.694	0.00012085
16.3	51.794	0.00012107
16.4	51.894	0.000121296666666667
16.5	51.994	0.000121506666666667
16.6	52.094	0.000121693333333333
16.7	52.194	0.000121913333333333
16.8	52.294	0.000122123333333333
16.9	52.394	0.000122296666666667
17.0	52.494	0.000122513333333333
17.1	52.594	0.00012268
17.2	52.694	0.000122893333333333
17.3	52.794	0.000123083333333333
17.4	52.894	0.000123263333333333
17.5	52.994	0.000123453333333333
17.6	53.094	0.000123686666666667
17.7	53.194	0.000123883333333333
17.8	53.294	0.000124093333333333
17.9	53.394	0.000124283333333333
18.0	53.494	0.000124516666666667
18.1	53.594	0.000124696666666667
18.2	53.694	0.00012483
18.3	53.794	0.00012504
18.4	53.894	0.000125213333333333
18.5	53.994	0.000125443333333333
18.6	54.094	0.000125643333333333
18.7	54.194	0.000125856666666667
18.8	54.294	0.000126063333333333
18.9	54.394	0.00012626
19.0	54.494	0.000126433333333333
19.1	54.594	0.000126633333333333
19.2	54.694	0.00012686
19.3	54.794	0.000127043333333333
19.4	54.894	0.000127273333333333
19.5	54.994	0.0001275
19.6	55.094	0.0001277
19.7	55.194	0.000127883333333333
19.8	55.294	0.000128076666666667
19.9	55.394	0.00012824
20.0	55.494	0.000128453333333333
20.1	55.594	0.00012865
20.2	55.694	0.000128853333333333
20.3	55.794	0.00012909
20.4	55.894	0.000129286666666667
20.5	55.994	0.00012951
20.6	56.094	0.000129706666666667
20.7	56.194	0.000129913333333333
20.8	56.294	0.000130096666666667
20.9	56.394	0.0001303
21.0	56.494	0.0001305
21.1	56.594	0.000130726666666667
21.2	56.694	0.0001309
21.3	56.794	0.00013109
21.4	56.894	0.000131326666666667
21.5	56.994	0.000131493333333333
21.6	57.094	0.000131643333333333
21.7	57.194	0.000131823333333333
21.8	57.294	0.000132013333333333
21.9	57.394	0.00013218
22.0	57.494	0.000132356666666667
22.1	57.594	0.00013255
22.2	57.694	0.00013275
22.3	57.794	0.00013289
22.4	57.894	0.000133066666666667
22.5	57.994	0.000133216666666667
22.6	58.094	0.000133406666666667
22.7	58.194	0.00013357
22.8	58.294	0.00013373
22.9	58.394	0.00013389
23.0	58.494	0.00013407
23.1	58.594	0.00013424
23.2	58.694	0.000134436666666667
23.3	58.794	0.000134596666666667
23.4	58.894	0.000134746666666667
23.5	58.994	0.000134933333333333
23.6	59.094	0.000135086666666667
23.7	59.194	0.000135253333333333
23.8	59.294	0.000135433333333333
23.9	59.394	0.0001356
24.0	59.494	0.000135793333333333
24.1	59.594	0.00013594
24.2	59.694	0.000136083333333333
24.3	59.794	0.00013626
24.4	59.894	0.00013644
24.5	59.994	0.000136563333333333
24.6	60.094	0.00013671
24.7	60.194	0.00013689
24.8	60.294	0.000137066666666667
24.9	60.394	0.000137243333333333
25.0	60.494	0.00013742
25.1	60.594	0.00013761
25.2	60.694	0.000137803333333333
25.3	60.794	0.00013794
25.4	60.894	0.000138106666666667
25.5	60.994	0.00013826
25.6	61.094	0.00013841
25.7	61.194	0.00013858
25.8	61.294	0.000138763333333333
25.9	61.394	0.000138893333333333
26.0	61.494	0.000139033333333333
26.1	61.594	0.000139186666666667
26.2	61.694	0.00013937
26.3	61.794	0.0001395
26.4	61.894	0.00013964
26.5	61.994	0.00013976
26.6	62.094	0.00013992
26.7	62.194	0.00014008
26.8	62.294	0.000140213333333333
26.9	62.394	0.000140336666666667
27.0	62.494	0.000140496666666667
27.1	62.594	0.000140626666666667
27.2	62.694	0.000140783333333333
27.3	62.794	0.000140913333333333
27.4	62.894	0.000141076666666667
27.5	62.994	0.000141246666666667
27.6	63.094	0.00014139
27.7	63.194	0.000141496666666667
27.8	63.294	0.000141606666666667
27.9	63.394	0.000141796666666667
28.0	63.494	0.000141963333333333
28.1	63.594	0.000142113333333333
28.2	63.694	0.000142226666666667
28.3	63.794	0.00014236
28.4	63.894	0.000142456666666667
28.5	63.994	0.000142563333333333
28.6	64.094	0.000142706666666667
28.7	64.194	0.000142836666666667
28.8	64.294	0.00014294
28.9	64.394	0.000143083333333333
29.0	64.494	0.000143183333333333
29.1	64.594	0.000143346666666667
29.2	64.694	0.000143456666666667
29.3	64.794	0.000143593333333333
29.4	64.894	0.000143743333333333
29.5	64.994	0.000143893333333333
29.6	65.094	0.000144003333333333
29.7	65.194	0.000144126666666667
29.8	65.294	0.00014427
29.9	65.394	0.00014441
30.0	65.494	0.000144543333333333
30.1	65.594	0.000144656666666667
30.2	65.694	0.00014478
30.3	65.794	0.00014492
30.4	65.894	0.000145026666666667
30.5	65.994	0.00014512
30.6	66.094	0.000145223333333333
30.7	66.194	0.00014534
30.8	66.294	0.000145466666666667
30.9	66.394	0.00014561
31.0	66.494	0.000145733333333333
31.1	66.594	0.000145826666666667
31.2	66.694	0.000145936666666667
31.3	66.794	0.000146046666666667
31.4	66.894	0.00014611
31.5	66.994	0.000146243333333333
31.6	67.094	0.00014636
31.7	67.194	0.00014645
31.8	67.294	0.00014655
31.9	67.394	0.000146656666666667
32.0	67.494	0.00014673
32.1	67.594	0.000146856666666667
32.2	67.694	0.000146966666666667
32.3	67.794	0.000147073333333333
32.4	67.894	0.00014716
32.5	67.994	0.000147233333333333
32.6	68.094	0.000147336666666667
32.7	68.194	0.000147433333333333
32.8	68.294	0.000147526666666667
32.9	68.394	0.000147633333333333
33.0	68.494	0.00014774
33.1	68.594	0.000147823333333333
33.2	68.694	0.000147903333333333
33.3	68.794	0.00014801
33.4	68.894	0.000148106666666667
33.5	68.994	0.00014821
33.6	69.094	0.00014831
33.7	69.194	0.0001484
33.8	69.294	0.0001485
33.9	69.394	0.000148586666666667
34.0	69.494	0.000148676666666667
34.1	69.594	0.000148753333333333
34.2	69.694	0.000148853333333333
34.3	69.794	0.00014893
34.4	69.894	0.000148993333333333
34.5	69.994	0.00014907
34.6	70.094	0.000149196666666667
34.7	70.194	0.000149296666666667
34.8	70.294	0.000149383333333333
34.9	70.394	0.000149456666666667
35.0	70.494	0.00014955
35.1	70.594	0.000149623333333333
35.2	70.694	0.000149703333333333
35.3	70.794	0.000149763333333333
35.4	70.894	0.000149866666666667
35.5	70.994	0.000149943333333333
35.6	71.094	0.000150026666666667
35.7	71.194	0.0001501
35.8	71.294	0.000150186666666667
35.9	71.394	0.00015022
36.0	71.494	0.00015028
36.1	71.594	0.00015039
36.2	71.694	0.000150466666666667
36.3	71.794	0.00015055
36.4	71.894	0.000150626666666667
36.5	71.994	0.000150693333333333
36.6	72.094	0.000150763333333333
36.7	72.194	0.000150826666666667
36.8	72.294	0.000150853333333333
36.9	72.394	0.000150923333333333
37.0	72.494	0.00015099
37.1	72.594	0.000151026666666667
37.2	72.694	0.00015111
37.3	72.794	0.000151173333333333
37.4	72.894	0.000151246666666667
37.5	72.994	0.000151293333333333
37.6	73.094	0.000151346666666667
37.7	73.194	0.00015141
37.8	73.294	0.000151456666666667
37.9	73.394	0.000151506666666667
38.0	73.494	0.000151546666666667
38.1	73.594	0.000151613333333333
38.2	73.694	0.000151666666666667
38.3	73.794	0.000151716666666667
38.4	73.894	0.000151756666666667
38.5	73.994	0.000151816666666667
38.6	74.094	0.000151853333333333
38.7	74.194	0.000151903333333333
38.8	74.294	0.000151986666666667
38.9	74.394	0.000152016666666667
39.0	74.494	0.000152063333333333
39.1	74.594	0.000152123333333333
39.2	74.694	0.000152146666666667
39.3	74.794	0.000152193333333333
39.4	74.894	0.000152236666666667
39.5	74.994	0.000152286666666667
39.6	75.094	0.00015234
39.7	75.194	0.000152403333333333
39.8	75.294	0.000152426666666667
39.9	75.394	0.000152453333333333
40.0	75.494	0.000152486666666667
40.1	75.594	0.00015252
40.2	75.694	0.000152583333333333
40.3	75.794	0.000152603333333333
40.4	75.894	0.000152636666666667
40.5	75.994	0.00015268
40.6	76.094	0.000152713333333333
40.7	76.194	0.000152773333333333
40.8	76.294	0.000152783333333333
40.9	76.394	0.0001528
41.0	76.494	0.00015283
41.1	76.594	0.00015288
41.2	76.694	0.000152916666666667
41.3	76.794	0.000152953333333333
41.4	76.894	0.00015299
41.5	76.994	0.000153
41.6	77.094	0.000153026666666667
41.7	77.194	0.000153063333333333
41.8	77.294	0.000153096666666667
41.9	77.394	0.00015313
42.0	77.494	0.000153176666666667
42.1	77.594	0.000153193333333333
42.2	77.694	0.000153196666666667
42.3	77.794	0.00015324
42.4	77.894	0.000153243333333333
42.5	77.994	0.000153283333333333
42.6	78.094	0.00015329
42.7	78.194	0.00015331
42.8	78.294	0.00015333
42.9	78.394	0.000153343333333333
43.0	78.494	0.00015336
43.1	78.594	0.000153373333333333
43.2	78.694	0.000153396666666667
43.3	78.794	0.000153396666666667
43.4	78.894	0.000153423333333333
43.5	78.994	0.000153443333333333
43.6	79.094	0.000153433333333333
43.7	79.194	0.00015345
43.8	79.294	0.00015346
43.9	79.394	0.000153476666666667
44.0	79.494	0.00015348
44.1	79.594	0.000153493333333333
44.2	79.694	0.000153483333333333
44.3	79.794	0.00015349
44.4	79.894	0.00015351
44.5	79.994	0.00015353
44.6	80.094	0.000153533333333333
44.7	80.194	0.00015352
44.8	80.294	0.00015353
44.9	80.394	0.000153533333333333
45.0	80.494	0.000153506666666667
45.1	80.594	0.000153513333333333
45.2	80.694	0.000153503333333333
45.3	80.794	0.0001535
45.4	80.894	0.0001535
45.5	80.994	0.000153496666666667
45.6	81.094	0.000153483333333333
45.7	81.194	0.000153473333333333
45.8	81.294	0.00015345
45.9	81.394	0.000153466666666667
46.0	81.494	0.00015345
46.1	81.594	0.000153476666666667
46.2	81.694	0.000153443333333333
46.3	81.794	0.000153423333333333
46.4	81.894	0.00015341
46.5	81.994	0.000153403333333333
46.6	82.094	0.0001534
46.7	82.194	0.00015338
46.8	82.294	0.000153373333333333
46.9	82.394	0.000153376666666667
47.0	82.494	0.000153366666666667
47.1	82.594	0.000153343333333333
47.2	82.694	0.000153316666666667
47.3	82.794	0.000153296666666667
47.4	82.894	0.000153273333333333
47.5	82.994	0.000153266666666667
47.6	83.094	0.000153233333333333
47.7	83.194	0.000153193333333333
47.8	83.294	0.00015317
47.9	83.394	0.000153123333333333
48.0	83.494	0.000153103333333333
48.1	83.594	0.000153063333333333
48.2	83.694	0.00015305
48.3	83.794	0.000153
48.4	83.894	0.000152973333333333
48.5	83.994	0.000152933333333333
48.6	84.094	0.0001529
48.7	84.194	0.000152883333333333
48.8	84.294	0.00015286
48.9	84.394	0.000152826666666667
49.0	84.494	0.000152806666666667
49.1	84.594	0.00015277
49.2	84.694	0.00015276
49.3	84.794	0.000152703333333333
49.4	84.894	0.00015266
49.5	84.994	0.000152613333333333
49.6	85.094	0.00015258
49.7	85.194	0.00015255
49.8	85.294	0.000152526666666667
49.9	85.394	0.00015248
50.0	85.494	0.000152413333333333
50.1	85.594	0.000152366666666667
50.2	85.694	0.000152326666666667
50.3	85.794	0.000152263333333333
50.4	85.894	0.000152206666666667
50.5	85.994	0.000152166666666667
50.6	86.094	0.00015211
50.7	86.194	0.000152066666666667
50.8	86.294	0.00015201
50.9	86.394	0.000151953333333333
51.0	86.494	0.0001519
51.1	86.594	0.000151843333333333
51.2	86.694	0.000151776666666667
51.3	86.794	0.00015172
51.4	86.894	0.000151646666666667
51.5	86.994	0.000151636666666667
51.6	87.094	0.000151586666666667
51.7	87.194	0.00015151
51.8	87.294	0.000151433333333333
51.9	87.394	0.000151386666666667
52.0	87.494	0.000151316666666667
52.1	87.594	0.000151276666666667
52.2	87.694	0.00015121
52.3	87.794	0.000151146666666667
52.4	87.894	0.00015107
52.5	87.994	0.000151016666666667
52.6	88.094	0.00015094
52.7	88.194	0.00015086
52.8	88.294	0.0001508
52.9	88.394	0.000150743333333333
53.0	88.494	0.000150656666666667
53.1	88.594	0.000150576666666667
53.2	88.694	0.00015051
53.3	88.794	0.00015043
53.4	88.894	0.00015034
53.5	88.994	0.000150266666666667
53.6	89.094	0.000150226666666667
53.7	89.194	0.00015014
53.8	89.294	0.00015007
53.9	89.394	0.000149996666666667
54.0	89.494	0.000149913333333333
54.1	89.594	0.000149813333333333
54.2	89.694	0.000149723333333333
54.3	89.794	0.000149633333333333
54.4	89.894	0.00014957
54.5	89.994	0.000149503333333333
54.6	90.094	0.000149403333333333
54.7	90.194	0.000149306666666667
54.8	90.294	0.00014923
54.9	90.394	0.000149153333333333
55.0	90.494	0.00014905
55.1	90.594	0.000148926666666667
55.2	90.694	0.00014883
55.3	90.794	0.000148753333333333
55.4	90.894	0.000148663333333333
55.5	90.994	0.000148576666666667
55.6	91.094	0.00014849
55.7	91.194	0.0001484
55.8	91.294	0.000148286666666667
55.9	91.394	0.000148213333333333
56.0	91.494	0.000148103333333333
56.1	91.594	0.000147993333333333
56.2	91.694	0.000147893333333333
56.3	91.794	0.000147773333333333
56.4	91.894	0.000147656666666667
56.5	91.994	0.000147553333333333
56.6	92.094	0.000147456666666667
56.7	92.194	0.00014735
56.8	92.294	0.00014725
56.9	92.394	0.00014714
57.0	92.494	0.000147026666666667
57.1	92.594	0.000146933333333333
57.2	92.694	0.000146833333333333
57.3	92.794	0.00014674
57.4	92.894	0.00014663
57.5	92.994	0.000146536666666667
57.6	93.094	0.000146433333333333
57.7	93.194	0.00014631
57.8	93.294	0.000146283333333333
57.9	93.394	0.00014627
58.0	93.494	0.000146146666666667
58.1	93.594	0.000146036666666667
58.2	93.694	0.000145923333333333
58.3	93.794	0.000145793333333333
