Home offset is 0
theta0 (Initial angle from Home) is (deg) 35.494
angle from Home(deg)	angle from theta0(deg)	photocurrent
0	35.494	5.32453333333333E-08
10	45.494	7.15553333333333E-08
20	55.494	9.86926666666667E-08
30	65.494	4.4353E-07
40	75.494	4.95186666666667E-06
50	85.494	2.3228E-05
60	95.494	6.96513333333333E-05
70	105.494	0.000101063333333333
80	115.494	0.000101106666666667
90	125.494	8.07726666666667E-05
100	135.494	5.54813333333333E-05
