Home offset is 0
angle (deg)	photocurrent
0.1	3.87366666666667E-06
0.2	3.95696666666667E-06
0.3	4.03693333333333E-06
0.4	4.1067E-06
0.5	4.18866666666667E-06
0.6	4.26863333333333E-06
0.7	4.3496E-06
0.8	4.42276666666667E-06
0.9	4.502E-06
1	4.56943333333333E-06
1.1	4.65346666666667E-06
1.2	4.75033333333333E-06
1.3	4.83536666666667E-06
1.4	4.91736666666667E-06
1.5	5.00336666666667E-06
1.6	5.07553333333333E-06
1.7	5.1575E-06
1.8	5.24626666666667E-06
1.9	5.32963333333333E-06
2	5.41936666666667E-06
2.1	5.51556666666667E-06
2.2	5.6077E-06
2.3	5.70393333333333E-06
2.4	5.79336666666667E-06
2.5	5.88653333333333E-06
2.6	5.97936666666667E-06
2.7	6.07896666666667E-06
2.8	6.1809E-06
2.9	6.2805E-06
3	6.3777E-06
3.1	6.4746E-06
3.2	6.58573333333333E-06
3.3	6.6748E-06
3.4	6.7815E-06
3.5	6.8852E-06
3.6	6.99323333333333E-06
3.7	7.09623333333333E-06
3.8	7.20156666666667E-06
3.9	7.31233333333333E-06
4	7.4309E-06
4.1	7.54613333333333E-06
4.2	7.65383333333333E-06
4.3	7.7663E-06
4.4	7.88786666666667E-06
4.5	7.9939E-06
4.6	8.11416666666667E-06
4.7	8.2206E-06
4.8	8.33606666666667E-06
4.9	8.46006666666667E-06
5	8.57896666666667E-06
5.1	8.6972E-06
5.2	8.8039E-06
5.3	8.92856666666667E-06
5.4	9.03693333333333E-06
5.5	9.16603333333333E-06
5.6	9.2866E-06
5.7	9.4045E-06
5.8	9.5265E-06
5.9	9.63113333333334E-06
5.99999999999999	9.7531E-06
6.09999999999999	9.87063333333333E-06
6.19999999999999	1.00013333333333E-05
6.29999999999999	1.01243333333333E-05
6.39999999999999	1.02453333333333E-05
6.49999999999999	1.0378E-05
6.59999999999999	1.0495E-05
6.69999999999999	1.0612E-05
6.79999999999999	1.0739E-05
6.89999999999999	1.08703333333333E-05
6.99999999999999	1.09996666666667E-05
